what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335412043483
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335412084234
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335412084550
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412086786
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1335412086831
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412091503
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335412092682
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335412096508
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335412097822
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412100097
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1335412105184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412106362
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1335412106413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412106788
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412107097
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335412111946
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335412112123
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335412118442
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.open.editor",1335412133446
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1335412133576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412133611
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1335412133943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412137039
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412138848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412139948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412145258
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412155785
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412158071
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335412161843
