what,kind,bundleId,bundleVersion,description,time
error,log,,,"null",1335523865615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523889490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523909233
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335523910997
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523924449
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523924690
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523926064
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523926065
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335523926813
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523929420
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523929637
error,log,,,"null",1335523933426
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523940872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1335523940958
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523947383
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335523948877
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523950231
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335523950458
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523955218
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523970304
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335523972435
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335523973234
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523975787
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523988836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523994522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523996553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335523997129
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335524003841
