what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944614473
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335944629920
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335944633550
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335944638834
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335944640070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335944646649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335944658190
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1335944670045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944671202
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944695080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944696750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944791959
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335944794210
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335944813589
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335944818923
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335944818923
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944831087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944836444
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335944837622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944839559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944848738
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335944853769
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944878728
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335944888784
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335944926769
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335944927642
