what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1335498593564
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1335498593692
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1335498593697
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335498599167
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335498624455
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335498624628
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498647713
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498664080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498669336
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498671233
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498671496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498681368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498683033
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498684072
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498685008
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498732873
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335498733760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499316212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499317593
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499334546
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499341377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499348826
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335499348907
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335499359100
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499364079
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499369991
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499371869
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1335499381597
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335499382772
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1335499382818
