what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1335930079341
opened,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335930079727
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1335930080083
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1335930080138
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1335930080202
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1335930080647
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1335930080650
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1335930080651
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1335930080829
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1335930081143
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930081480
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930081674
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335930085214
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1335930087161
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1335930087435
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1335930087473
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930089260
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930105913
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930106657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930109308
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930111011
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930112518
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930112519
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1335930112581
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930115587
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930115711
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930115712
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1335930115736
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930118684
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930118800
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930119348
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930119348
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.close",1335930119369
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930120882
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930121192
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930122059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930123472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1335930123522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930125405
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930129368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930153139
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335930153227
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930176637
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930176787
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930179123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930182380
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335930201451
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1335930203476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930205525
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1335930205854
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1335930205855
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1335930205898
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930609501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930704897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930708957
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930709986
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930710458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930711383
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930712532
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930715294
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930721535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930751619
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335930754624
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930755246
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335930755440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930771059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930771169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930798217
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335930810638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930820141
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930820983
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930822230
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930853099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930855895
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930882517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930885173
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930912907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335930917340
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335930921613
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335930923591
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335930927020
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335930927577
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1335930928569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1335930929601
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335930933142
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930933724
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930937109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335930946521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335930948204
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930948627
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335930951051
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930954193
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930955108
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930960421
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930960764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930972594
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335930983266
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930984404
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335930996896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1335931023442
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335931025239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335931025964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931027044
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931037490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931039206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931066624
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931067092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931285658
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931288829
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931370096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931371036
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931377195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931412606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931413797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931495422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335931503230
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335931505665
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335931508232
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335931512457
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineStart",1335931529460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931537093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931542848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335931543852
