what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1335587548396
executed,command,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.edit.text.open.editor",1335587549606
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335587551132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587553069
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1335587558003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587558502
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1335587558534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587558908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587559450
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335587563122
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335587563467
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587566523
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587567586
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587570830
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335587573679
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587587400
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335587593906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335587601252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587602087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587622482
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335587632372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587635861
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587646474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335587678946
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1335587682961
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1335587683000
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1335587683932
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1335587684016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587691010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587691137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587691146
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587747052
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335587768480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587770061
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587786781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587788255
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587862233
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587866382
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1335587866383
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587867650
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587867650
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587868940
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587868940
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587869949
closed,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587869950
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335587871484
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587873201
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587873380
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335587891772
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587925374
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587925572
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587929497
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587931794
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335587944129
activated,view,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui.explorer",1335587956154
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587970445
opened,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587977539
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335587977665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335587977806
