what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526514142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526538816
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335526571159
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335526577896
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335526584969
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335526585569
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335526586908
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335526589388
activated,editor,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.editor",1335526608877
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335526615768
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335526616729
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335526620649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335526621330
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335526622092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335526630826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526633946
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526729506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526730569
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526837800
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526838675
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526878781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335526880040
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335527730181
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335527731117
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335527739573
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335527742541
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.exit",1335527743872
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1335527744231
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1335527744262
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1335527744262
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1335527744262
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1335527744325
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1335527744340
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1335527744356
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1335527744356
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1335527744356
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1335527744356
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1335527744356
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1335527744356
activated,perspective,org.eclipse.php.ui,,"org.eclipse.php.perspective",1335582001488
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1335582001490
