what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585627616
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585635661
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335585640627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335585644998
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335585645799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585655572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585681722
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1335585684957
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335585685338
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1335585685891
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335585686940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585688518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585731281
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585732647
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585733885
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585736589
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585738443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585739621
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585740633
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335585753981
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335585756383
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335585756852
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585759638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585780395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585798511
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585799510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335585808111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585808928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585821802
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585825212
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585847173
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335585864757
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585867801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585904051
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585951059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335585997432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1335586011261
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335586016799
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335586017508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586019036
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586058336
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1335586065817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586067484
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586073370
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1335586083963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586085822
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586087804
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586089537
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586093114
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586094391
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586252689
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586254157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586495478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586496119
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586503034
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586519772
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1335586522814
